                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3299,                 2.2736,                 1.6286,                0.68926,                0.32155,                0.44205,                0.20501,                 1.5935,                 3.6495,                 1.9907,              4.614e-05,              4.614e-05,              4.614e-05
                      2,                 1.2671,                 2.2075,                 1.5833,                0.75011,                 0.3072,                0.46806,                0.23339,                 1.5192,                 3.5959,                 1.9324,             9.7991e-05,             9.7991e-05,             9.7991e-05
                      3,                 1.2378,                 2.0903,                 1.5727,                0.70983,                0.28933,                0.46681,                0.22506,                  1.485,                 3.6004,                 1.8839,             0.00014771,             0.00014771,             0.00014771
                      4,                  1.203,                 1.9893,                 1.5337,                0.70389,                0.39255,                0.51505,                0.25647,                 1.6306,                 3.4786,                 2.0538,              0.0001953,              0.0001953,              0.0001953
                      5,                 1.1424,                 1.9006,                 1.4863,                0.77393,                0.34762,                 0.5041,                0.24455,                 1.6493,                 3.3825,                 2.0718,             0.00024075,             0.00024075,             0.00024075
                      6,                 1.1269,                 1.8141,                 1.4707,                0.60192,                  0.349,                0.46194,                0.23483,                  1.624,                 3.4797,                 2.1038,             0.00028408,             0.00028408,             0.00028408
                      7,                 1.1188,                 1.7411,                 1.4266,                0.67736,                0.35458,                0.44113,                0.23701,                 1.6725,                 3.6689,                 2.1513,             0.00032527,             0.00032527,             0.00032527
                      8,                 1.1251,                 1.7689,                 1.4638,                0.75284,                0.46516,                0.53633,                0.29451,                 1.6808,                 3.5262,                 2.1031,             0.00036433,             0.00036433,             0.00036433
                      9,                 1.1866,                 1.7788,                 1.4874,                0.62753,                 0.4457,                0.45388,                0.21758,                 1.7173,                 3.7009,                 2.1864,             0.00040126,             0.00040126,             0.00040126
                     10,                 1.1681,                 1.7771,                 1.5055,                0.43675,                0.49227,                0.43312,                0.17396,                 1.7855,                 3.6668,                 2.3182,             0.00043606,             0.00043606,             0.00043606
                     11,                  1.192,                 1.7439,                 1.4997,                0.39389,                 0.3315,                0.37278,                0.17626,                 1.9311,                 4.0342,                 2.4406,             0.00046872,             0.00046872,             0.00046872
                     12,                 1.1507,                 1.6976,                 1.4906,                0.64684,                0.21926,                0.37059,                0.15863,                  1.727,                 4.0031,                 2.2775,             0.00049925,             0.00049925,             0.00049925
                     13,                 1.1768,                 1.7167,                 1.4921,                0.47874,                0.23264,                0.23101,                0.08218,                 2.1339,                 4.1946,                 2.5936,             0.00052766,             0.00052766,             0.00052766
                     14,                 1.1589,                 1.6461,                 1.4702,                0.15157,                0.20192,                0.19009,                0.08465,                 1.8086,                 3.8789,                  2.369,             0.00055393,             0.00055393,             0.00055393
                     15,                 1.1944,                  1.661,                 1.4938,                0.67931,                0.17835,                 0.1889,                 0.0722,                 1.8521,                 4.4727,                 2.2808,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.1853,                 1.6009,                 1.4817,                0.44915,                0.28245,                0.25406,                0.09446,                 1.9434,                 4.3181,                 2.4737,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.2083,                 1.6319,                 1.5101,                0.75135,                0.14605,                0.28627,                0.08615,                 1.7874,                  4.123,                 2.4271,             0.00052538,             0.00052538,             0.00052538
                     18,                 1.1764,                 1.5676,                 1.4722,                0.59536,                0.28718,                0.32331,                0.13845,                 1.8673,                 3.3114,                 2.4416,             0.00051015,             0.00051015,             0.00051015
